signature_symbol signature_direction
GPRC5A Dn
CD274 Dn
ATP8A2 Dn
ARHGDIB Dn
LINC00052 Dn
HIST1H2BB Dn
BOK Dn
NFE2L3 Dn
SERPINB9 Dn
ARL14 Dn
MMP9 Dn
CXCL11 Dn
MT1L Dn
HAS2-AS1 Dn
TMEM45B Dn
NRCAM Dn
SHC4 Dn
EPGN Dn
CORO1A Dn
GRAMD3 Dn
MANSC4 Dn
ARID3B Dn
BGN Up
PTPRO Up
PDE3A Up
FDCSP Up
IFI44L Up
TNFAIP6 Up
EPB41L4A Up
OAS2 Up
METTL7A Up
SP8 Up
ST8SIA4 Up
PLXDC2 Up
EGR1 Up
TP63 Up
IL13RA2 Up
APCDD1L Up
KRT14 Up
FOXO1 Up
CPM Up
DPYD Up
CHRNA9 Up
DDX60 Up
PDE8B Up
P3H2 Up
SMOC1 Up
IFI6 Up
C1S Up
SDC2 Up
SPINK6 Up
DCBLD1 Up
XAF1 Up
PDE7B Up
AARD Up
IFI44 Up
HTRA1 Up
NID1 Up
MAPK4 Up
TMEM45A Up
LINC01139 Up
FGF2 Up
GPC6 Up
ADGRL2 Up
SEMA3C Up
CYP4F22 Up
CAMK2D Up
APCDD1L-AS1 Up
CHRM3 Up
DNER Up
TRPS1 Up
KCNJ15 Up
PDCD4 Up
TENM3 Up
MAP2K6 Up
STEAP2 Up
MCAM Up
UST Up
SEL1L3 Up
SPINK13 Up
MGP Up
MSI2 Up
PRLR Up
KRT17P2 Up
ROS1 Up
HIST1H1D Up
FGFBP1 Up
BCL6 Up
VCAN Up
ZC3H6 Up
C1R Up
MFSD2A Up
GAREM1 Up
TLL1 Up
SBSPON Up
ALX4 Up
ZMYM3 Up
NAV2-AS1 Up
ADAMTS4 Up
RGS7 Up
TMPRSS3 Up
BMP2 Up
LINC00659 Up
NR4A3 Up
HS3ST3A1 Up
IFIT1 Up
ELOVL3 Up
FBN1 Up
CHDH Up
CA12 Up
MAGI3 Up
CHI3L1 Up
LINC00639 Up
KCNK2 Up
DLX5 Up
SEMA3F Up
GTF2IRD1 Up
LINC01220 Up
QRFPR Up
STOM Up
NR4A2 Up
ARID5B Up
MCTP1 Up
IL17RB Up
HIPK2 Up
ANGPT1 Up
MCTP2 Up
ZRANB3 Up
ADGRL1 Up
ACKR3 Up
BMP5 Up
PID1 Up
CLGN Up
NUPR1 Up
TIMP3 Up
LINC00473 Up
CYP4X1 Up
RORC Up
HERC5 Up
CRISPLD1 Up
NOL4 Up
EIF1AX Up
LOX Up
TCP11L2 Up
PTPRN Up
FZD1 Up
MX1 Up
KLF9 Up
MIR3689D2 Up
RNA5SP399 Up
CYFIP2 Up
CCDC69 Up
TPRG1-AS1 Up
SEMA6B Up
IFIT2 Up
MEFV Up
CWH43 Up
MAP2 Up
RNA5SP99 Up
CD22 Up
NAV2 Up
GNAI1 Up
PLCB1 Up
IL15 Up
PPM1K Up
SMAD6 Up
HMCN1 Up
RNU5D-1 Up
SNAI1 Up
KLHL24 Up
OAS1 Up
R3HDM2 Up
OMD Up
LTBP1 Up
C5 Up
ETV5 Up
ARHGAP31 Up
GALNT13 Up
ENTPD2 Up
C19orf38 Up
PCSK1 Up
UNC5C Up
